Fecha Hora,Fecha Hora(RAW),Tiempo de Ping,Tiempo de Ping(RAW),Perdida de paquetes(RAW),Disponibilidad de sistema,Disponibilidad de sistema(RAW),Trafico suma (volumen),Trafico suma (volumen)(RAW),Trafico suma (velocidad),Trafico suma (velocidad)(RAW),"Temperature 1006 (Switch 1 - Temp Sensor 0, GREEN )","Temperature 1006 (Switch 1 - Temp Sensor 0, GREEN )(RAW)","Temperature 1007 (Switch 1 - Temp Sensor 1, GREEN )","Temperature 1007 (Switch 1 - Temp Sensor 1, GREEN )(RAW)","Temperature 1008 (Switch 1 - Temp Sensor 2, GREEN )","Temperature 1008 (Switch 1 - Temp Sensor 2, GREEN )(RAW)",CPU 1000,CPU 1000(RAW),Available Memory 1 (Processor),Available Memory 1 (Processor)(RAW)
03/02/2020 15:00:00 - 16:00:00,43864.875,2 mseg,2.1432,0,149 d,12894667,0,0,0,0,33 °C,33.2979,41 °C,40.5106,44 °C,43.8723,"1,85 %",1.8542,338 MByte,353950858
03/02/2020 16:00:00 - 17:00:00,43864.91667,3 mseg,2.75,0,149 d,12897907,0,0,0,0,34 °C,34,41 °C,41,44 °C,44.1833,"2,10 %",2.1,338 MByte,353950717.9
03/02/2020 17:00:00 - 18:00:00,43864.95833,2 mseg,2.135,0,149 d,12901507,0,0,0,0,34 °C,34.2833,41 °C,41,44 °C,44.4333,"1,72 %",1.7167,338 MByte,353952062.2
03/02/2020 18:00:00 - 19:00:00,43865,2 mseg,2.0817,0,149 d,12905107,0,0,0,0,34 °C,33.9,41 °C,40.9,44 °C,43.9833,"1,35 %",1.35,338 MByte,353952334.8
03/02/2020 19:00:00 - 20:00:00,43865.04167,2 mseg,2.3933,0,149 d,12908707,0,0,0,0,33 °C,33.05,40 °C,40.0167,44 °C,43.55,"1,43 %",1.4333,338 MByte,353952218.7
03/02/2020 20:00:00 - 21:00:00,43865.08333,2 mseg,2.2317,0,149 d,12912307,0,0,0,0,33 °C,33.05,40 °C,40.45,44 °C,43.8333,"1,48 %",1.4833,338 MByte,353952124.9
03/02/2020 21:00:00 - 22:00:00,43865.125,2 mseg,2.0583,0,149 d,12915907,0,0,0,0,33 °C,33,40 °C,40.4,44 °C,44,"1,18 %",1.1833,338 MByte,353958651.3
03/02/2020 22:00:00 - 23:00:00,43865.16667,3 mseg,3.3433,0,149 d,12919507,0,0,0,0,33 °C,32.8833,40 °C,40,44 °C,43.9833,"1,03 %",1.0333,338 MByte,353951540.3
03/02/2020 23:00:00 - 0:00:00,43865.20833,2 mseg,2.15,0,149 d,12923107,0,0,0,0,32 °C,32.45,40 °C,40,44 °C,43.8833,"1,30 %",1.3,338 MByte,353942428.9
04/02/2020 0:00:00 - 1:00:00,43865.25,2 mseg,2.4567,0,149 d,12926707,0,0,0,0,32 °C,32.05,40 °C,40,43 °C,43.1833,"1,47 %",1.4667,338 MByte,353938865.3
04/02/2020 1:00:00 - 2:00:00,43865.29167,2 mseg,2.2217,0,149 d,12930307,0,0,0,0,32 °C,32,40 °C,40,44 °C,43.6,"1,45 %",1.45,338 MByte,353937717.1
04/02/2020 2:00:00 - 3:00:00,43865.33333,2 mseg,2.3217,0,149 d,12933907,0,0,0,0,32 °C,32,40 °C,40,43 °C,43.1833,"1,48 %",1.4833,338 MByte,353939462.8
04/02/2020 3:00:00 - 4:00:00,43865.375,2 mseg,2.1983,0,149 d,12937507,0,0,0,0,32 °C,31.9833,40 °C,39.5667,43 °C,43.0167,"1,52 %",1.5167,338 MByte,353936715.7
04/02/2020 4:00:00 - 5:00:00,43865.41667,2 mseg,2.3683,0,149 d,12941107,0,0,0,0,32 °C,31.95,39 °C,39,43 °C,43,"1,50 %",1.5,338 MByte,353937923.3
04/02/2020 5:00:00 - 6:00:00,43865.45833,2 mseg,2.0983,0,149 d,12944707,0,0,0,0,31 °C,31.4833,39 °C,39,43 °C,42.9667,"1,42 %",1.4167,338 MByte,353938020
04/02/2020 6:00:00 - 7:00:00,43865.5,2 mseg,2.1433,0,149 d,12948307,0,0,0,0,31 °C,30.9333,39 °C,39,43 °C,42.9167,"1,48 %",1.4833,338 MByte,353941905.3
04/02/2020 7:00:00 - 8:00:00,43865.54167,2 mseg,2.1967,0,149 d,12951907,0,0,0,0,30 °C,30.1,38 °C,38.2833,43 °C,42.5167,"1,67 %",1.6667,338 MByte,353937815.7
04/02/2020 8:00:00 - 9:00:00,43865.58333,4 mseg,4.0017,0,149 d,12955507,0,0,0,0,30 °C,30,38 °C,38,42 °C,42.0333,"2,02 %",2.0167,338 MByte,353941535.4
04/02/2020 9:00:00 - 10:00:00,43865.625,2 mseg,2.165,0,149 d,12959107,0,0,0,0,30 °C,30,38 °C,38,42 °C,42.05,"1,68 %",1.6833,338 MByte,353942713
04/02/2020 10:00:00 - 11:00:00,43865.66667,2 mseg,2.1033,0,150 d,12962707,0,0,0,0,30 °C,30,38 °C,38,42 °C,42.4,"1,78 %",1.7833,338 MByte,353939253.6
04/02/2020 11:00:00 - 12:00:00,43865.70833,2 mseg,2.235,0,150 d,12966307,0,0,0,0,30 °C,30.0833,38 °C,38.2,42 °C,42.4667,"1,80 %",1.8,338 MByte,353940536.1
04/02/2020 12:00:00 - 13:00:00,43865.75,3 mseg,2.5583,0,150 d,12969907,0,0,0,0,31 °C,30.8833,38 °C,38.2167,42 °C,42,"1,82 %",1.8167,338 MByte,353939936
04/02/2020 13:00:00 - 14:00:00,43865.79167,2 mseg,2.3967,0,150 d,12973507,0,0,0,0,31 °C,31,39 °C,39,43 °C,42.5833,"1,83 %",1.8333,338 MByte,353942339.9
04/02/2020 14:00:00 - 15:00:00,43865.83333,3 mseg,2.755,0,150 d,12977107,0,0,0,0,31 °C,31.0333,39 °C,39,43 °C,43,"1,92 %",1.9167,338 MByte,353942439.9
04/02/2020 15:00:00 - 16:00:00,43865.875,2 mseg,2.3567,0,150 d,12980707,0,0,0,0,32 °C,31.7333,39 °C,39,43 °C,43,"1,78 %",1.7833,338 MByte,353940237.4
04/02/2020 16:00:00 - 17:00:00,43865.91667,2 mseg,2.45,0,150 d,12984307,0,0,0,0,32 °C,31.9833,39 °C,39.4333,43 °C,43,"1,93 %",1.9333,338 MByte,353936883.4
04/02/2020 17:00:00 - 18:00:00,43865.95833,3 mseg,2.5583,0,150 d,12987907,0,0,0,0,32 °C,32,40 °C,39.7,43 °C,43,"1,88 %",1.8833,338 MByte,353947896.9
04/02/2020 18:00:00 - 19:00:00,43866,2 mseg,2.185,0,150 d,12991507,0,0,0,0,31 °C,31.2833,39 °C,39,43 °C,42.95,"1,53 %",1.5333,338 MByte,353951422.1
04/02/2020 19:00:00 - 20:00:00,43866.04167,2 mseg,2.065,0,150 d,12995107,0,0,0,0,31 °C,31,39 °C,39,43 °C,43,"1,53 %",1.5333,338 MByte,353951770.5
04/02/2020 20:00:00 - 21:00:00,43866.08333,2 mseg,2.1183,0,150 d,12998707,0,0,0,0,31 °C,31.0333,39 °C,39,43 °C,42.95,"1,33 %",1.3333,338 MByte,353952027.3
04/02/2020 21:00:00 - 22:00:00,43866.125,2 mseg,2.24,0,150 d,13002307,0,0,0,0,32 °C,31.6167,39 °C,39,43 °C,43,"1,60 %",1.6,338 MByte,353946688.5
04/02/2020 22:00:00 - 23:00:00,43866.16667,2 mseg,2.0717,0,150 d,13005907,0,0,0,0,32 °C,31.6667,39 °C,39,43 °C,42.95,"1,52 %",1.5167,338 MByte,353938728.9
04/02/2020 23:00:00 - 0:00:00,43866.20833,2 mseg,2.1917,0,150 d,13009507,0,0,0,0,32 °C,31.9167,39 °C,39,43 °C,43,"1,57 %",1.5667,338 MByte,353936858.5
05/02/2020 0:00:00 - 1:00:00,43866.25,2 mseg,2.2167,0,150 d,13013107,0,0,0,0,32 °C,31.9833,39 °C,39,43 °C,43,"1,43 %",1.4333,338 MByte,353939382.1
05/02/2020 1:00:00 - 2:00:00,43866.29167,2 mseg,2.1333,0,150 d,13016707,0,0,0,0,32 °C,31.9833,39 °C,39,43 °C,43,"1,43 %",1.4333,338 MByte,353939130.4
05/02/2020 2:00:00 - 3:00:00,43866.33333,2 mseg,2.0667,0,150 d,13020307,0,0,0,0,32 °C,31.95,39 °C,39,43 °C,42.9167,"1,25 %",1.25,338 MByte,353946082.7
05/02/2020 3:00:00 - 4:00:00,43866.375,2 mseg,2.1467,0,150 d,13023907,0,0,0,0,32 °C,31.7667,39 °C,39,43 °C,42.85,"1,18 %",1.1833,338 MByte,353950590.6
05/02/2020 4:00:00 - 5:00:00,43866.41667,2 mseg,2.1333,0,150 d,13027507,0,0,0,0,32 °C,31.7333,39 °C,39,43 °C,42.8,"1,10 %",1.1,338 MByte,353950595
05/02/2020 5:00:00 - 6:00:00,43866.45833,2 mseg,2.0867,0,150 d,13031107,0,0,0,0,31 °C,31.4333,39 °C,39,43 °C,42.95,"1,43 %",1.4333,338 MByte,353942030.3
05/02/2020 6:00:00 - 7:00:00,43866.5,2 mseg,2.1233,0,150 d,13034707,0,0,0,0,31 °C,31,39 °C,38.8333,43 °C,42.6,"1,45 %",1.45,338 MByte,353936724.2
05/02/2020 7:00:00 - 8:00:00,43866.54167,2 mseg,2.3933,0,150 d,13038307,0,0,0,0,30 °C,30.4,38 °C,38,42 °C,42,"1,73 %",1.7333,338 MByte,353937820.9
05/02/2020 8:00:00 - 9:00:00,43866.58333,3 mseg,2.5233,0,150 d,13041907,0,0,0,0,30 °C,30.2833,38 °C,38.25,42 °C,42.3,"2,08 %",2.0833,338 MByte,353962493.9
05/02/2020 9:00:00 - 10:00:00,43866.625,2 mseg,2.14,0,150 d,13045507,0,0,0,0,31 °C,30.7,38 °C,38.4667,42 °C,42.35,"1,82 %",1.8167,338 MByte,353926303.8
05/02/2020 10:00:00 - 11:00:00,43866.66667,2 mseg,2.4433,0,151 d,13049107,0,0,0,0,30 °C,30.35,38 °C,38,42 °C,42,"1,72 %",1.7167,338 MByte,353941738.4
05/02/2020 11:00:00 - 12:00:00,43866.70833,2 mseg,2.3433,0,151 d,13052707,0,0,0,0,31 °C,30.9833,39 °C,38.75,43 °C,42.65,"1,73 %",1.7333,338 MByte,353939847.1
05/02/2020 12:00:00 - 13:00:00,43866.75,2 mseg,2.2067,0,151 d,13056307,0,0,0,0,31 °C,31.1667,39 °C,39,43 °C,43,"1,88 %",1.8833,338 MByte,353938255.1
05/02/2020 13:00:00 - 14:00:00,43866.79167,2 mseg,2.4167,0,151 d,13059907,0,0,0,0,31 °C,31.1167,39 °C,39,43 °C,43,"1,85 %",1.85,338 MByte,353939936.3
05/02/2020 14:00:00 - 15:00:00,43866.83333,2 mseg,2.245,0,151 d,13063507,0,0,0,0,31 °C,31,39 °C,39,43 °C,42.9833,"1,85 %",1.85,338 MByte,353941284.1
05/02/2020 15:00:00 - 16:00:00,43866.875,2 mseg,2.5,0,151 d,13067107,0,0,0,0,31 °C,31.2167,39 °C,39,43 °C,43,"1,80 %",1.8,338 MByte,353941689.1
05/02/2020 16:00:00 - 17:00:00,43866.91667,2 mseg,2.23,0,151 d,13070707,0,0,0,0,31 °C,31.4333,39 °C,39,43 °C,43,"1,72 %",1.7167,338 MByte,353940423.9
